"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"filterbubbles_ver1.2.nlogo"
"experiment"
"05/19/2025 11:38:41:351 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","acceptance-latitude","acceptance-sharpness","[step]","number-of-bubbles","biggest-cluster-tightness","biggest-cluster-size"
"197","0.3","4","1001","1","0.3","100"
"198","0.3","4","1001","1","0.4","100"
"199","0.3","4","1001","1","0.4","100"
"207","0.3","5","1001","2","0.3","66"
"210","0.3","5","1001","1","0.4","100"
"205","0.3","5","1001","1","0.3","100"
"203","0.3","5","1001","1","6.9","100"
"204","0.3","5","1001","1","0.5","100"
"206","0.3","5","1001","1","0.3","100"
"209","0.3","5","1001","1","0.3","100"
"201","0.3","5","1001","1","0.3","100"
"200","0.3","4","1001","1","0.5","100"
"202","0.3","5","1001","1","0.3","100"
"213","0.3","6","1001","2","0.3","74"
"211","0.3","6","1001","1","1.7","100"
"212","0.3","6","1001","1","0.3","100"
"208","0.3","5","1001","1","0.4","100"
"217","0.3","6","1001","2","0.4","84"
"218","0.3","6","1001","1","6.5","100"
"214","0.3","6","1001","1","0.8","100"
"216","0.3","6","1001","1","0.3","100"
"222","0.3","7","1001","3","0.4","47"
"221","0.3","7","1001","1","5.5","100"
"224","0.3","7","1001","4","0.4","34"
"219","0.3","6","1002","2","0.4","79"
"215","0.3","6","1001","1","0.4","100"
"225","0.3","7","1001","2","5.5","74"
"220","0.3","6","1001","1","6.4","100"
"227","0.3","7","1002","2","0.3","69"
"226","0.3","7","1001","1","0.3","100"
"229","0.3","7","1001","2","0.4","56"
"231","0.3","8","1001","3","0.3","49"
"232","0.3","8","1001","3","0.3","48"
"223","0.3","7","1001","1","1","100"
"233","0.3","8","1001","2","3.2","89"
"237","0.3","8","1001","3","1.4","44"
"235","0.3","8","1001","2","6.1","82"
"228","0.3","7","1001","1","0.5","100"
"230","0.3","7","1001","1","0.5","100"
"236","0.3","8","1001","3","0.4","57"
"239","0.3","8","1001","4","0.4","64"
"240","0.3","8","1001","3","0.4","50"
"238","0.3","8","1001","3","0.4","74"
"241","0.3","9","1001","3","0.5","73"
"234","0.3","8","1001","2","0.4","82"
"243","0.3","9","1001","4","0.5","48"
"244","0.3","9","1001","4","0.4","40"
"242","0.3","9","1001","3","0.4","47"
"245","0.3","9","1002","4","0.3","33"
"246","0.3","9","1001","4","2.8","61"
"247","0.3","9","1001","3","0.4","56"
"248","0.3","9","1001","3","0.6","74"
"252","0.3","10","1001","2","6.4","71"
"251","0.3","10","1003","4","0.4","66"
"250","0.3","9","1002","4","3","90"
"254","0.3","10","1001","3","0.4","42"
"253","0.3","10","1001","2","4.8","64"
"249","0.3","9","1001","3","3","98"
"256","0.3","10","1001","4","0.4","32"
"258","0.3","10","1001","3","4.3","49"
"255","0.3","10","1001","3","0.4","70"
"257","0.3","10","1001","3","0.4","46"
"261","0.3","11","1001","3","0.4","40"
"263","0.3","11","1001","5","0.5","38"
"260","0.3","10","1001","4","0.3","54"
"264","0.3","11","1001","4","0.4","48"
"266","0.3","11","1001","4","0.4","43"
"268","0.3","11","1001","4","0.3","39"
"259","0.3","10","1001","2","3.2","98"
"265","0.3","11","1001","4","0.4","43"
"262","0.3","11","1001","3","0.4","75"
"269","0.3","11","1001","3","0.4","57"
"270","0.3","11","1001","6","0.5","37"
"267","0.3","11","1001","5","0.4","46"
"271","0.3","12","1001","2","3.3","51"
"272","0.3","12","1001","3","3.4","58"
"273","0.3","12","1001","4","4.4","54"
"274","0.3","12","1001","4","0.4","43"
"277","0.3","12","1002","3","1.4","62"
"276","0.3","12","1001","4","0.4","52"
"275","0.3","12","1001","4","0.5","51"
"279","0.3","12","1001","4","0.4","42"
"280","0.3","12","1001","4","0.4","47"
"278","0.3","12","1001","3","0.4","56"
"281","0.3","13","1001","4","0.5","46"
"283","0.3","13","1001","4","0.5","40"
"284","0.3","13","1001","4","4.2","49"
"285","0.3","13","1001","4","0.5","29"
"286","0.3","13","1001","4","0.3","48"
"282","0.3","13","1001","3","0.4","53"
"287","0.3","13","1001","5","0.5","33"
"288","0.3","13","1001","5","0.5","40"
"289","0.3","13","1001","4","0.4","44"
"291","0.3","14","1001","4","0.4","34"
"290","0.3","13","1001","3","0.5","51"
"293","0.3","14","1001","4","0.4","32"
"295","0.3","14","1001","4","0.4","34"
"297","0.3","14","1001","4","0.5","42"
"292","0.3","14","1001","2","0.4","53"
"296","0.3","14","1001","4","3.6","74"
"299","0.3","14","1001","4","0.4","45"
"298","0.3","14","1001","4","0.4","37"
"300","0.3","14","1001","4","0.3","40"
"301","0.3","15","1001","5","0.4","35"
"294","0.3","14","1001","4","0.4","74"
"303","0.3","15","1001","4","0.4","50"
"302","0.3","15","1001","4","0.5","59"
"304","0.3","15","1001","5","0.5","39"
"305","0.3","15","1001","4","0.3","47"
"306","0.3","15","1001","4","0.3","50"
"309","0.3","15","1001","4","0.4","42"
"307","0.3","15","1001","4","0.4","45"
"314","0.3","16","1001","5","4","30"
"308","0.3","15","1001","5","0.4","41"
"311","0.3","16","1001","3","1","41"
"312","0.3","16","1001","4","0.4","38"
"310","0.3","15","1001","5","0.3","36"
"315","0.3","16","1001","5","0.5","31"
"313","0.3","16","1001","6","0.4","62"
"317","0.3","16","1001","5","0.5","40"
"316","0.3","16","1001","3","0.4","40"
"318","0.3","16","1001","4","0.6","39"
"319","0.3","16","1001","4","0.5","39"
"321","0.3","17","1001","4","0.4","36"
"323","0.3","17","1001","4","0.4","47"
"324","0.3","17","1001","4","0.4","46"
"322","0.3","17","1001","4","0.5","40"
"326","0.3","17","1001","4","0.3","36"
"320","0.3","16","1001","5","0.5","53"
"325","0.3","17","1001","3","3.9","48"
"327","0.3","17","1001","4","0.3","46"
"328","0.3","17","1001","4","0.6","66"
"329","0.3","17","1001","3","0.8","51"
"330","0.3","17","1001","5","0.4","33"
"331","0.3","18","1001","4","0.4","37"
"333","0.3","18","1001","5","0.3","34"
"332","0.3","18","1001","3","0.3","47"
"336","0.3","18","1001","3","6.4","63"
"334","0.3","18","1001","6","0.5","39"
"335","0.3","18","1001","5","0.3","44"
"337","0.3","18","1001","4","0.3","47"
"339","0.3","18","1001","4","0.4","47"
"340","0.3","18","1001","4","2.5","41"
"338","0.3","18","1001","5","0.3","35"
"342","0.3","19","1001","4","0.4","32"
"341","0.3","19","1001","4","0.5","33"
"343","0.3","19","1001","5","0.4","37"
"344","0.3","19","1001","4","0.4","45"
"345","0.3","19","1001","5","0.4","39"
"346","0.3","19","1001","5","0.4","33"
"347","0.3","19","1001","4","3.3","52"
"348","0.3","19","1001","5","0.3","37"
"351","0.3","20","1001","6","0.4","38"
"350","0.3","19","1001","4","0.5","49"
